"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 16 02:20:17 UTC 2025","Sun Mar 16 02:20:17 UTC 2025","333","chromium","nestedFrames/nestedFrames.spec.ts","Nested Frames","","","Перевірка тексту у BOTTOM фреймі",""
"passed","Sun Mar 16 02:19:57 UTC 2025","Sun Mar 16 02:19:58 UTC 2025","620","chromium","formAuth/formAuth.spec.ts","Form Authentication Page","","","Не повинен залогінитися з невалідними даними",""
"passed","Sun Mar 16 02:20:19 UTC 2025","Sun Mar 16 02:20:19 UTC 2025","417","chromium","shadowDom/shadowDom.spec.ts","Shadow DOM Page","","","Контент у другому shadow dom елементі містить всі очікувані значення",""
"passed","Sun Mar 16 02:19:01 UTC 2025","Sun Mar 16 02:19:06 UTC 2025","4357","chromium","dynamicControls/dynamicControls.spec.ts","Dynamic Controls Page","","","should enable input field after clicking enable button",""
"passed","Sun Mar 16 02:18:38 UTC 2025","Sun Mar 16 02:18:38 UTC 2025","553","chromium","brokenImages/brokenImages.spec.ts","Broken Images Page","","","should detect broken images on the page",""
"passed","Sun Mar 16 02:20:12 UTC 2025","Sun Mar 16 02:20:12 UTC 2025","431","chromium","inputs/inputs.spec.ts","Inputs Page","","","Можна інкрементувати значення стрілкою вгору",""
"passed","Sun Mar 16 02:20:14 UTC 2025","Sun Mar 16 02:20:14 UTC 2025","468","chromium","javascriptAlerts/javascriptAlerts.spec.ts","JavaScript Alerts","","","Prompt: Користувач вводить текст і приймає",""
"passed","Sun Mar 16 02:19:56 UTC 2025","Sun Mar 16 02:19:56 UTC 2025","472","chromium","floatingMenu/floatingMenu.spec.ts","Floating Menu Page","","","Меню залишається видимим після прокручування сторінки",""
"passed","Sun Mar 16 02:20:10 UTC 2025","Sun Mar 16 02:20:11 UTC 2025","417","chromium","inputs/inputs.spec.ts","Inputs Page","","","Можна ввести ціле число",""
"passed","Sun Mar 16 02:18:47 UTC 2025","Sun Mar 16 02:18:48 UTC 2025","443","chromium","dynamicContent/dynamicContent.spec.ts","Dynamic Content Page","","","should display 3 or 4 content rows",""
"passed","Sun Mar 16 02:20:16 UTC 2025","Sun Mar 16 02:20:16 UTC 2025","339","chromium","nestedFrames/nestedFrames.spec.ts","Nested Frames","","","Перевірка тексту у LEFT фреймі",""
"passed","Sun Mar 16 02:19:54 UTC 2025","Sun Mar 16 02:19:54 UTC 2025","534","chromium","fileDownload/fileDownload.spec.ts","File Download Page","","","Повинен завантажити файл і перевірити його існування",""
"passed","Sun Mar 16 02:18:47 UTC 2025","Sun Mar 16 02:18:47 UTC 2025","428","chromium","dropdown/dropdown.spec.ts","Dropdown Page","","","should select Option 1 from dropdown",""
"passed","Sun Mar 16 02:20:04 UTC 2025","Sun Mar 16 02:20:05 UTC 2025","628","chromium","home/homePage.spec.ts","Home Page Navigation","","","Перехід на сторінку Add/Remove Elements",""
"passed","Sun Mar 16 02:20:17 UTC 2025","Sun Mar 16 02:20:17 UTC 2025","555","chromium","notificationMessages/notificationMessages.spec.ts","Notification Messages Page","","","Перевірка, що зʼявляється повідомлення зі списку можливих",""
"passed","Sun Mar 16 02:18:32 UTC 2025","Sun Mar 16 02:18:34 UTC 2025","1197","chromium","addRemoveElements/addRemoveElements.spec.ts","Add/Remove Elements Tests","","","Add and Remove Elements",""
"passed","Sun Mar 16 02:19:52 UTC 2025","Sun Mar 16 02:19:54 UTC 2025","1299","chromium","exitIntent/exitIntent.spec.ts","Exit Intent Page","","","Можна закрити модальне вікно після появи",""
"passed","Sun Mar 16 02:19:26 UTC 2025","Sun Mar 16 02:19:27 UTC 2025","1245","chromium","entryAd/entryAd.spec.ts","Entry Ad Page","","","should display modal on page load",""
"passed","Sun Mar 16 02:19:59 UTC 2025","Sun Mar 16 02:20:00 UTC 2025","366","chromium","frames/frames.spec.ts","Frames Page","","","Повинен перевірити текст у Middle Frame",""
"passed","Sun Mar 16 02:20:19 UTC 2025","Sun Mar 16 02:20:19 UTC 2025","416","chromium","shadowDom/shadowDom.spec.ts","Shadow DOM Page","","","Контент у першому shadow dom елементі видно",""
"passed","Sun Mar 16 02:19:56 UTC 2025","Sun Mar 16 02:19:57 UTC 2025","462","chromium","floatingMenu/floatingMenu.spec.ts","Floating Menu Page","","","Клік по пункту меню ""About"" виконується коректно",""
"passed","Sun Mar 16 02:20:11 UTC 2025","Sun Mar 16 02:20:12 UTC 2025","412","chromium","inputs/inputs.spec.ts","Inputs Page","","","Необроблений текст вводиться, але не повинен прийматися (браузер пропускає)",""
"passed","Sun Mar 16 02:20:24 UTC 2025","Sun Mar 16 02:20:24 UTC 2025","584","chromium","statusCodes/statusCodes.spec.ts","Status Codes Page","","","Сторінка 500 повертає правильний опис",""
"passed","Sun Mar 16 02:20:21 UTC 2025","Sun Mar 16 02:20:21 UTC 2025","533","chromium","sortableTables/sortableTables.spec.ts","Sortable Data Tables Page","","","Table 2: Значення першої строки правильні",""
"passed","Sun Mar 16 02:20:01 UTC 2025","Sun Mar 16 02:20:03 UTC 2025","2413","chromium","geolocation/geolocation.spec.ts","Geolocation Page","","","Показуються правильні координати після кліку",""
"passed","Sun Mar 16 02:18:46 UTC 2025","Sun Mar 16 02:18:46 UTC 2025","473","chromium","disappearingElements/disappearingElements.spec.ts","Disappearing Elements Page","","","should show Gallery menu item after reload (if appears)",""
"passed","Sun Mar 16 02:20:15 UTC 2025","Sun Mar 16 02:20:15 UTC 2025","555","chromium","multipleWindows/multipleWindows.spec.ts","Multiple Windows","","","Користувач може відкрити нову вкладку і побачити контент",""
"passed","Sun Mar 16 02:18:53 UTC 2025","Sun Mar 16 02:19:01 UTC 2025","8241","chromium","dynamicControls/dynamicControls.spec.ts","Dynamic Controls Page","","","should add checkbox back after clicking add button",""
"passed","Sun Mar 16 02:20:20 UTC 2025","Sun Mar 16 02:20:21 UTC 2025","627","chromium","sortableTables/sortableTables.spec.ts","Sortable Data Tables Page","","","Table 1: Сортування по ""Last Name"" за спаданням",""
"passed","Sun Mar 16 02:18:45 UTC 2025","Sun Mar 16 02:18:45 UTC 2025","522","chromium","disappearingElements/disappearingElements.spec.ts","Disappearing Elements Page","","","should display core menu items",""
"passed","Sun Mar 16 02:20:19 UTC 2025","Sun Mar 16 02:20:20 UTC 2025","577","chromium","sortableTables/sortableTables.spec.ts","Sortable Data Tables Page","","","Table 1: Сортування по ""Last Name"" за зростанням",""
"passed","Sun Mar 16 02:20:03 UTC 2025","Sun Mar 16 02:20:04 UTC 2025","644","chromium","home/homePage.spec.ts","Home Page Navigation","","","Перехід на сторінку A/B Testing",""
